secs,km,power,hr,cad,alt
0,0,82,109,65,279
1,0.0065,110,109,78,279
2,0.0131,80,109,77,279
3,0.0198,246,109,78,279
4,0.0267,180,109,78,279.2
5,0.0338,180,109,79,279.2
6,0.0411,172,109,79,279.2
7,0.0483,307,109,80,279
8,0.0558,304,109,80,279.2
9,0.0632,304,110,82,279.4
10,0.0704,123,111,81,279.4
11,0.0775,25,112,75,279.4
12,0.0848,56,113,75,279.4
13,0.0916,56,114,75,279.4
14,0.0984,56,115,40,279.6
15,0.1053,218,115,76,279.6
16,0.1121,124,116,76,279.6
17,0.119,130,117,76,279.6
18,0.1258,119,118,76,279.6
19,0.1327,118,119,76,279.4
20,0.1396,176,119,76,279.4
21,0.1466,154,120,77,279.4
22,0.1536,147,121,77,279.6
23,0.1604,95,121,77,279.6
24,0.1672,95,122,76,279.6
25,0.174,118,122,75,279.6
26,0.1807,161,123,75,279.8
27,0.1874,161,124,74,279.8
28,0.1941,115,124,74,279.8
29,0.2008,171,125,74,280
30,0.2077,190,125,75,280
31,0.2145,174,126,76,280
32,0.2212,145,126,76,280
33,0.228,124,126,76,280.2
34,0.2348,101,127,75,280.2
35,0.2415,87,127,75,280.4
36,0.2481,67,127,74,280.4
37,0.2547,128,127,74,280.6
38,0.2612,128,127,73,280.6
39,0.2676,106,128,72,280.6
40,0.274,102,127,71,280.6
41,0.2802,68,127,70,280.6
42,0.2865,125,127,69,280.8
43,0.2927,147,127,69,280.8
44,0.2989,107,127,69,280.8
45,0.3048,76,126,67,280.8
46,0.3107,0,126,67,281
47,0.3161,0,126,67,281
48,0.321,0,125,0,281
49,0.3244,0,124,0,281
50,0.3268,0,123,0,281
51,0.3288,7,122,67,281.2
52,0.3326,422,121,67,281.2
53,0.3372,422,121,39,281.6
54,0.3426,456,121,53,281.8
55,0.3484,379,121,61,282
56,0.3545,320,122,65,282.2
57,0.361,288,123,65,282.4
58,0.3677,288,124,69,282.4
59,0.3749,276,125,73,282.4
60,0.3817,30,126,34,282.4
61,0.3885,175,127,75,282.4
62,0.3955,183,128,75,282.4
63,0.4024,183,128,76,282.4
64,0.4094,174,129,77,282.4
65,0.4165,166,129,77,282.4
66,0.4236,143,130,78,282.4
67,0.4307,124,129,78,282.4
68,0.4378,155,130,78,282.4
69,0.445,154,130,79,282.4
70,0.4522,125,130,79,282.4
71,0.4595,210,129,80,282.4
72,0.4667,158,130,80,282.4
73,0.4738,151,130,80,282.4
74,0.4808,132,130,79,282.4
75,0.4879,184,130,78,282.4
76,0.495,170,130,79,282.4
77,0.5022,162,131,79,282.4
78,0.5093,153,131,79,282.4
79,0.5164,112,131,79,282.4
80,0.5234,111,131,79,282.4
81,0.5305,111,131,78,282.4
82,0.5376,159,131,78,282.4
83,0.5446,144,131,78,282.4
84,0.5517,144,130,78,282.4
85,0.5585,112,130,78,282.4
86,0.5655,112,130,77,282.6
87,0.5726,202,130,78,282.6
88,0.5798,108,130,79,282.6
89,0.5869,113,130,80,282.8
90,0.5942,101,130,80,282.8
91,0.6013,93,130,80,282.8
92,0.6085,103,130,80,282.8
93,0.6156,103,130,79,283
94,0.6227,172,130,79,283.2
95,0.6299,115,130,79,283.4
96,0.637,115,129,79,283.6
97,0.6441,204,129,79,283.8
98,0.6513,146,128,79,283.8
99,0.6585,109,128,79,283.8
100,0.6657,160,128,79,284
101,0.673,174,128,80,284
102,0.6803,95,128,80,284
103,0.6875,115,128,79,284.2
104,0.6948,220,128,79,284.2
105,0.7021,220,128,80,284.2
106,0.7094,127,128,80,284.2
107,0.7166,116,127,79,284.4
108,0.7239,148,127,79,284.4
109,0.7312,216,127,80,284.4
110,0.7384,157,127,80,284.4
111,0.7456,125,127,80,284.4
112,0.7528,126,127,79,284.4
113,0.76,156,128,79,284.6
114,0.7672,156,127,78,284.6
115,0.7744,160,126,79,284.6
116,0.7816,175,126,79,284.6
117,0.7888,147,126,79,284.8
118,0.7961,203,126,80,284.8
119,0.8034,196,126,81,284.8
120,0.8107,83,126,81,284.8
121,0.8179,83,126,80,284.8
122,0.8253,224,126,80,284.8
123,0.8327,156,126,82,284.8
124,0.8401,156,126,81,285
125,0.8475,172,126,81,285
126,0.8549,142,127,82,285.2
127,0.8622,119,127,81,285.2
128,0.8695,121,127,81,285.4
129,0.8767,121,127,80,285.4
130,0.884,130,127,80,285.4
131,0.8916,230,127,81,285.4
132,0.899,206,127,83,285.6
133,0.9064,122,127,82,285.6
134,0.9138,225,127,82,285.6
135,0.9212,206,127,82,285.6
136,0.9287,170,127,82,285.6
137,0.9361,147,128,82,285.8
138,0.9437,150,127,83,286
139,0.9512,207,128,83,286
140,0.9587,143,127,83,286.2
141,0.9662,180,127,83,286.2
142,0.9737,233,127,83,286.4
143,0.9814,234,128,83,286.4
144,0.9892,234,128,84,286.4
145,0.9972,303,128,86,286.4
146,1.0052,199,129,88,286.6
147,1.0131,117,129,88,286.6
148,1.0209,82,130,87,286.6
149,1.0286,138,130,87,286.6
150,1.0364,138,130,86,286.8
151,1.0442,127,130,86,287
152,1.052,208,130,86,287
153,1.0597,185,130,86,287
154,1.0677,189,130,86,287.2
155,1.0757,189,130,88,287
156,1.0836,122,130,88,287.2
157,1.0916,143,130,88,287.4
158,1.0995,121,130,87,287.4
159,1.1073,120,130,87,287.6
160,1.1151,120,131,86,287.8
161,1.1228,106,131,85,287.8
162,1.1305,124,131,85,287.8
163,1.1382,151,131,85,287.8
164,1.1458,151,130,85,287.8
165,1.1533,91,130,84,288
166,1.1607,81,130,82,288
167,1.168,59,130,81,288
168,1.1752,53,129,80,288
169,1.1821,29,129,70,288
170,1.1888,4,128,29,288
171,1.1958,78,127,29,288.2
172,1.2026,78,126,54,288.2
173,1.2095,227,125,75,288.2
174,1.2167,324,125,77,288.2
175,1.2242,280,125,79,288.2
176,1.2317,328,126,82,288.2
177,1.2395,245,126,84,288.4
178,1.2476,265,128,84,288.6
179,1.2557,265,129,88,288.8
180,1.2637,177,130,89,288.8
181,1.2717,135,131,89,289
182,1.2796,135,131,88,289
183,1.2874,88,131,87,289
184,1.295,117,131,87,289
185,1.3027,117,131,49,289
186,1.3105,320,130,85,289
187,1.3184,228,131,87,289
188,1.3262,130,131,87,289.2
189,1.3341,185,131,87,289.2
190,1.3421,144,131,87,289.2
191,1.3501,130,132,88,289.2
192,1.358,133,132,87,289.2
193,1.3659,143,132,87,289.2
194,1.3738,103,132,87,289.4
195,1.3816,119,132,87,289.4
196,1.3895,131,132,86,289.6
197,1.3971,148,132,71,289.6
198,1.4047,39,131,66,289.6
199,1.4125,180,131,71,289.6
200,1.4202,277,130,71,289.6
201,1.4283,277,130,71,289.8
202,1.4363,273,131,74,289.8
203,1.4445,180,131,74,289.8
204,1.4526,220,131,75,289.8
205,1.4606,99,132,75,290
206,1.4686,128,132,75,290
207,1.4764,128,131,74,290
208,1.4843,88,131,80,290
209,1.4921,188,131,81,290
210,1.4999,123,131,81,290.2
211,1.5076,148,130,81,290.2
212,1.5153,148,130,80,290.2
213,1.523,159,130,79,290.2
214,1.5306,176,130,79,290.2
215,1.5382,158,130,79,290.4
216,1.5458,157,130,79,290.4
217,1.5534,157,130,79,290.4
218,1.561,121,130,79,290.4
219,1.5688,133,130,79,290.4
220,1.5765,215,130,79,290.4
221,1.5842,204,130,80,290.4
222,1.5917,122,130,79,290.6
223,1.5993,156,130,79,290.6
224,1.607,178,130,79,290.6
225,1.6145,133,130,79,290.8
226,1.6221,133,130,79,290.8
227,1.6297,137,130,79,291
228,1.6371,125,130,78,291
229,1.6445,139,130,78,291.2
230,1.652,146,129,77,291.2
231,1.6593,193,129,77,291.2
232,1.6668,128,130,77,291.2
233,1.6742,142,130,77,291.4
234,1.6816,212,130,77,291.4
235,1.689,196,130,77,291.4
236,1.6965,152,130,77,291.6
237,1.7037,108,130,76,291.6
238,1.711,162,130,76,291.6
239,1.7182,162,130,75,291.6
240,1.7254,83,130,74,291.8
241,1.7325,104,130,74,291.8
242,1.7397,205,130,74,291.8
243,1.7471,253,130,75,292
244,1.7543,127,130,75,292
245,1.7616,127,130,75,292
246,1.7688,186,130,75,292.2
247,1.7759,111,131,74,292.2
248,1.7828,112,130,73,292.4
249,1.7899,237,130,73,292.4
250,1.7969,237,130,73,292.4
251,1.8039,148,130,72,292.6
252,1.8108,177,130,72,292.6
253,1.8175,117,130,71,292.6
254,1.8242,124,130,71,292.6
255,1.8309,124,130,70,292.6
256,1.8375,140,130,68,292.8
257,1.8439,102,131,68,292.8
258,1.8498,34,131,68,293
259,1.8562,34,131,62,293
260,1.8616,0,130,62,293.2
261,1.8666,0,128,0,293.2
262,1.8708,0,126,0,293.2
263,1.8746,0,124,0,293.2
264,1.8776,0,123,0,293.4
265,1.8808,2,122,14,293.6
266,1.8851,200,122,49,293.6
267,1.8898,365,123,64,293.8
268,1.8949,436,125,64,293.8
269,1.9005,436,127,74,294.2
270,1.9064,371,128,77,294.2
271,1.9129,408,129,82,294.4
272,1.9193,282,130,61,294.4
