secs,km,power,hr,cad,alt
0,0,97,95,83,273
1,0.0058,82,96,84,273.2
2,0.0115,91,96,84,273
3,0.0174,91,96,84,272.8
4,0.0233,125,97,86,272.8
5,0.0294,75,97,83,272.6
6,0.0355,114,97,79,272.4
7,0.0414,116,98,79,272.6
8,0.0472,148,99,78,272.6
9,0.053,96,99,77,272.8
10,0.0588,155,100,76,273
11,0.0646,142,101,76,273
12,0.0704,78,101,76,273.2
13,0.0762,78,102,75,273
14,0.082,66,103,35,272.6
15,0.0877,66,104,75,272.6
16,0.0935,172,104,75,272.6
17,0.0995,172,104,75,272.8
18,0.1056,164,105,78,272.8
19,0.1118,169,105,80,272.8
20,0.1181,205,106,81,272.8
21,0.1244,185,106,83,272.8
22,0.1308,111,106,84,272.8
23,0.1372,103,107,84,273
24,0.1436,96,107,84,273
25,0.1499,114,108,84,273
26,0.1562,114,108,83,273
27,0.1624,124,109,83,273
28,0.1686,89,109,82,273
29,0.1748,143,109,81,273
30,0.1811,180,109,82,273.2
31,0.1875,135,110,82,273.2
32,0.1938,135,109,83,273.2
33,0.2002,92,110,83,273.2
34,0.2065,93,109,83,273.2
35,0.2127,87,110,82,273.4
36,0.2187,96,110,82,273.4
37,0.2248,96,110,81,273.4
38,0.2308,87,110,80,273.6
39,0.2368,121,110,79,273.8
40,0.2429,112,110,79,273.8
41,0.2491,105,111,80,273.8
42,0.2551,87,111,80,274
43,0.2611,73,111,79,274
44,0.2671,106,111,79,274
45,0.2731,105,112,79,274.2
46,0.279,105,112,78,274.2
47,0.285,126,112,79,274.4
48,0.2909,82,112,78,274.4
49,0.2968,71,112,77,274.4
50,0.3026,94,112,77,274.4
51,0.3084,94,112,77,274.6
52,0.3142,73,112,76,274.6
53,0.3201,170,112,76,274.8
54,0.326,164,112,77,274.8
55,0.3319,139,113,77,274.8
56,0.3378,139,112,77,274.8
57,0.3439,90,112,78,274.8
58,0.3501,82,112,79,274.8
59,0.3562,82,112,80,274.8
60,0.3624,146,112,81,275
61,0.3688,158,112,81,275
62,0.3754,158,112,80,275
63,0.3821,177,112,76,275
64,0.3889,81,112,78,275.2
65,0.3958,115,112,79,275.4
66,0.4028,69,113,80,275.2
67,0.4097,59,113,80,275.4
68,0.4166,71,113,80,275.4
69,0.4236,84,113,80,275.4
70,0.4306,96,113,81,275.4
71,0.4377,89,113,81,275.4
72,0.4449,75,112,82,275.4
73,0.452,94,112,82,275.4
74,0.4592,75,112,83,275.4
75,0.4664,115,112,83,275.4
76,0.4737,91,111,84,275.4
77,0.4811,85,111,85,275.4
78,0.4885,102,111,85,275.4
79,0.4959,109,111,86,275.4
80,0.5034,115,111,86,275.4
81,0.5109,99,110,86,275.4
82,0.5184,107,110,87,275.2
83,0.5259,106,110,88,275.2
84,0.5334,95,110,88,275.2
85,0.541,97,109,88,275.2
86,0.5486,85,109,88,275.2
87,0.556,82,109,88,275.2
88,0.5635,83,109,87,275.2
89,0.5709,80,109,87,275
90,0.5784,149,109,87,275
91,0.586,139,109,88,275
92,0.5936,121,109,88,275
93,0.6012,152,110,88,275
94,0.6089,129,109,89,275
95,0.6166,86,110,84,275
96,0.6242,122,110,84,275
97,0.632,117,110,84,275
98,0.6398,110,109,85,275
99,0.6477,96,109,85,275
100,0.6556,156,109,85,275
101,0.6636,179,109,86,275
102,0.6717,107,109,87,275
103,0.6797,81,109,88,275
104,0.6879,145,109,88,275.2
105,0.6961,125,109,88,275.2
106,0.7044,125,108,89,275.2
107,0.7127,87,108,90,275.2
108,0.721,94,109,90,275.2
109,0.7294,106,108,90,275.4
110,0.7377,95,109,91,275.4
